Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
pablohoffman,2148,https://github.com/pablohoffman,User,False,5507,20,17,30,14,475,28,True
dangra,1125,https://github.com/dangra,User,False,5922,30,30,30,30,321,44,True
wRAR,1029,https://github.com/wRAR,User,False,5426,30,30,30,29,84,18,True
kmike,879,https://github.com/kmike,User,False,5687,30,30,30,30,1140,173,True
Gallaecio,584,https://github.com/Gallaecio,User,False,5069,30,30,30,30,138,4,True
elacuesta,520,https://github.com/elacuesta,User,False,4663,30,30,30,22,85,82,True
redapple,506,https://github.com/redapple,User,False,4980,30,30,30,27,165,171,False
void,250,https://github.com/void,User,False,5992,4,4,7,7,30,1,False
curita,209,https://github.com/curita,User,False,5465,30,30,30,9,289,70,True
eliasdorneles,173,https://github.com/eliasdorneles,User,False,5921,30,30,30,30,441,71,True
lopuhin,162,https://github.com/lopuhin,User,False,5251,30,30,30,30,460,359,True
Laerte,117,https://github.com/Laerte,User,False,4122,30,30,12,6,38,6,True
whalebot-helmsman,72,https://github.com/whalebot-helmsman,User,False,4826,30,30,28,30,17,9,False
adityaa30,72,https://github.com/adityaa30,User,False,2518,30,30,14,30,103,45,False
nyov,60,https://github.com/nyov,User,False,5240,30,30,30,30,26,44,False
jdemaeyer,59,https://github.com/jdemaeyer,User,False,3686,30,30,30,18,43,402,False
rmax,56,https://github.com/rmax,User,False,5990,30,30,30,30,632,289,False
nramirezuy,43,https://github.com/nramirezuy,User,False,4907,30,30,24,22,36,0,False
BroodingKangaroo,42,https://github.com/BroodingKangaroo,User,False,2590,9,6,0,9,5,4,False
jxlil,41,https://github.com/jxlil,User,False,1814,23,22,5,8,12,136,False
victor-torres,39,https://github.com/victor-torres,User,False,4377,30,30,30,30,137,51,False
alexpdev,33,https://github.com/alexpdev,User,False,2233,30,30,30,30,11,27,False
AphonicChaos,32,https://github.com/AphonicChaos,User,False,5731,0,0,0,30,0,1,False
anubhavp28,31,https://github.com/anubhavp28,User,False,2800,30,30,20,30,149,26,False
Digenis,30,https://github.com/Digenis,User,False,4556,30,30,24,8,43,0,True
pawelmhm,30,https://github.com/pawelmhm,User,False,4490,30,30,30,30,164,10,False
GeorgeA92,30,https://github.com/GeorgeA92,User,False,3385,30,30,10,6,14,0,False
maramsumanth,29,https://github.com/maramsumanth,User,False,2681,30,30,5,21,2,8,False
stummjr,29,https://github.com/stummjr,User,False,4854,30,30,30,30,204,86,True
alexcepoi,29,https://github.com/alexcepoi,User,False,5463,15,12,10,18,54,70,False
omab,27,https://github.com/omab,User,False,5738,30,30,30,30,405,2708,False
jsoref,27,https://github.com/jsoref,User,False,4575,30,30,30,30,575,26,False
noviluni,26,https://github.com/noviluni,User,False,3069,30,30,30,30,68,18,True
OmarFarrag,21,https://github.com/OmarFarrag,User,False,2970,6,2,3,8,19,2,False
starrify,20,https://github.com/starrify,User,False,5278,30,30,30,30,109,5,False
bulatbulat48,20,https://github.com/bulatbulat48,User,False,3226,14,10,8,17,16,79,False
further-reading,20,https://github.com/further-reading,User,False,2963,30,30,30,26,19,139,False
stav,20,https://github.com/stav,User,False,5479,30,30,30,30,43,24,False
pkufranky,19,https://github.com/pkufranky,User,False,6161,2,1,16,30,42,61,False
StasDeep,19,https://github.com/StasDeep,User,False,3274,0,0,0,14,0,94,False
andrix,19,https://github.com/andrix,User,False,5385,6,5,8,30,60,19,False
ammarnajjar,18,https://github.com/ammarnajjar,User,False,3974,30,30,30,30,3,2,False
purvaudai,18,https://github.com/purvaudai,User,False,2716,19,11,0,17,0,0,False
ArturGaspar,17,https://github.com/ArturGaspar,User,False,4700,30,30,17,30,27,81,False
kalessin,15,https://github.com/kalessin,User,False,5322,30,30,30,15,55,21,False
duendex,15,https://github.com/duendex,User,False,4162,7,5,2,5,12,0,False
harshasrinivas,15,https://github.com/harshasrinivas,User,False,3904,17,10,30,27,134,209,False
alexanderlukanin13,14,https://github.com/alexanderlukanin13,User,False,4297,30,30,13,25,4,146,False
chekunkov,14,https://github.com/chekunkov,User,False,5050,30,30,25,30,22,3,False
ejulio,14,https://github.com/ejulio,User,False,4785,30,30,30,30,83,15,False
shaneaevans,14,https://github.com/shaneaevans,User,False,5456,8,8,26,5,118,30,True
kasun,13,https://github.com/kasun,User,False,5738,23,14,16,23,34,429,False
mabelvj,13,https://github.com/mabelvj,User,False,3400,30,30,29,29,27,1,False
Granitosaurus,12,https://github.com/Granitosaurus,User,False,4170,30,30,30,30,68,56,False
mdonoughe,12,https://github.com/mdonoughe,User,False,6053,30,30,30,30,27,3,False
max-arnold,12,https://github.com/max-arnold,User,False,5294,30,30,30,30,23,38,False
dswij,12,https://github.com/dswij,User,False,2298,30,30,21,30,19,0,False
guillermo-bondonno,12,https://github.com/guillermo-bondonno,User,False,1170,8,7,1,4,1,0,False
mtabbasi,12,https://github.com/mtabbasi,User,False,1909,13,12,7,15,9,0,False
barraponto,11,https://github.com/barraponto,User,False,5617,30,30,30,30,346,13,False
felixonmars,11,https://github.com/felixonmars,User,False,4923,30,30,30,30,3141,4,False
Rotzbua,11,https://github.com/Rotzbua,User,False,3957,0,0,0,30,0,2,False
drs-11,11,https://github.com/drs-11,User,False,3023,19,10,3,16,7,1,False
rhoboro,10,https://github.com/rhoboro,User,False,3472,30,30,24,30,60,291,False
BurnzZ,10,https://github.com/BurnzZ,User,False,4398,30,30,30,30,63,3,True
feliperuhland,10,https://github.com/feliperuhland,User,False,4850,30,30,30,30,63,3,False
jay24rajput,10,https://github.com/jay24rajput,User,False,2526,30,30,13,30,43,4,False
sibiryakov,9,https://github.com/sibiryakov,User,False,3786,30,30,30,26,62,15,False
lucywang000,9,https://github.com/lucywang000,User,False,2777,30,30,30,30,47,235,True
Matthijsy,9,https://github.com/Matthijsy,User,False,4194,30,30,30,30,3,0,False
eLRuLL,9,https://github.com/eLRuLL,User,False,4744,30,30,16,30,67,5,True
sbartlett97,9,https://github.com/sbartlett97,User,False,2679,11,10,6,28,0,15,False
tpeng,9,https://github.com/tpeng,User,False,5285,30,30,20,30,113,177,False
grammy-jiang,9,https://github.com/grammy-jiang,User,False,5062,30,23,13,24,51,15,False
ivanprado,9,https://github.com/ivanprado,User,False,4975,30,30,30,27,34,2,False
umairnsr87,9,https://github.com/umairnsr87,User,False,3423,30,28,10,30,5,15,False
djunzu,8,https://github.com/djunzu,User,False,3807,7,6,16,6,0,0,False
loucash,8,https://github.com/loucash,User,False,5210,30,30,18,30,35,22,False
jesuslosada,8,https://github.com/jesuslosada,User,False,4134,30,30,3,15,8,44,False
DamianCanabal,8,https://github.com/DamianCanabal,User,False,4618,0,0,1,4,0,0,False
aaron-tan,7,https://github.com/aaron-tan,User,False,1626,17,7,15,7,1,3,False
maranqz,7,https://github.com/maranqz,User,False,4343,30,30,30,26,24,47,False
tonal,7,https://github.com/tonal,User,False,5347,30,30,30,30,17,10,False
MattyMay,7,https://github.com/MattyMay,User,False,3082,30,30,7,12,3,0,False
csalazar,7,https://github.com/csalazar,User,False,5304,12,11,12,6,37,37,False
codeaditya,7,https://github.com/codeaditya,User,False,4509,25,23,1,17,8,2,False
hcoura,7,https://github.com/hcoura,User,False,3692,29,22,7,30,10,21,False
jazzthief,6,https://github.com/jazzthief,User,False,2515,9,4,18,12,2,0,False
felipeboffnunes,6,https://github.com/felipeboffnunes,User,False,2094,30,30,17,26,12,7,True
testingcan,6,https://github.com/testingcan,User,False,3055,7,7,9,12,7,6,False
jorenham,6,https://github.com/jorenham,User,False,4079,30,30,30,30,45,64,False
Dineshs91,6,https://github.com/Dineshs91,User,False,4495,30,30,30,30,52,160,False
jazzthieff,6,https://github.com/jazzthieff,User,False,620,0,0,0,0,0,0,False
ViralMehtaSWE,6,https://github.com/ViralMehtaSWE,User,False,2747,9,5,6,19,15,3,False
divtiply,6,https://github.com/divtiply,User,False,4186,11,7,30,16,7,19,False
golewski,6,https://github.com/golewski,User,False,4273,0,0,0,0,0,0,False
gliptak,6,https://github.com/gliptak,User,False,5863,30,30,30,30,85,0,False
allait,6,https://github.com/allait,User,False,5418,30,30,6,14,29,11,False
pankaj1707k,5,https://github.com/pankaj1707k,User,False,1511,15,13,30,27,16,6,False
darshanime,5,https://github.com/darshanime,User,False,3992,30,30,30,30,183,2258,False
iDeepverma,5,https://github.com/iDeepverma,User,False,1576,30,30,3,15,21,0,False
hugovk,5,https://github.com/hugovk,User,False,4784,30,30,30,30,879,4,False
sortafreel,5,https://github.com/sortafreel,User,False,5310,18,12,3,13,8,5,False
orangain,5,https://github.com/orangain,User,False,5171,30,30,30,30,50,27,False
muriloviana,5,https://github.com/muriloviana,User,False,4037,30,30,30,22,80,1,False
ashellunts,5,https://github.com/ashellunts,User,False,4588,30,30,9,16,33,958,False
JazzGlobal,5,https://github.com/JazzGlobal,User,False,2841,30,30,30,30,16,2,False
denysbutenko,5,https://github.com/denysbutenko,User,False,5312,30,30,30,29,38,4,False
GregoryVigoTorres,5,https://github.com/GregoryVigoTorres,User,False,3491,7,1,5,4,1,8,False
jameysharp,5,https://github.com/jameysharp,User,False,4989,30,30,30,30,243,2254,False
LucianU,5,https://github.com/LucianU,User,False,4967,30,30,30,19,68,75,False
moisesguimaraes,5,https://github.com/moisesguimaraes,User,False,4568,30,30,28,30,85,4,False
patiences,5,https://github.com/patiences,User,False,3459,30,30,17,23,48,2,False
yarikoptic,5,https://github.com/yarikoptic,User,False,5911,30,30,30,30,428,0,False
deepang17,5,https://github.com/deepang17,User,False,2183,11,9,0,6,6,0,False
mlmsmith,5,https://github.com/mlmsmith,User,False,1915,14,9,0,14,0,0,False
DharmeshPandav,4,https://github.com/DharmeshPandav,User,False,4159,7,3,22,28,20,1,False
eventuallyc0nsistent,4,https://github.com/eventuallyc0nsistent,User,False,5070,5,4,8,30,56,184,False
KristobalJunta,4,https://github.com/KristobalJunta,User,False,4056,30,30,30,30,21,4,False
HarrisonGregg,4,https://github.com/HarrisonGregg,User,False,4389,27,25,7,28,7,6,False
Godson-Gnanaraj,4,https://github.com/Godson-Gnanaraj,User,False,2755,10,7,2,14,3,0,False
Rohitkr117,4,https://github.com/Rohitkr117,User,False,516,5,4,0,10,1,0,False
sakshamb2113,4,https://github.com/sakshamb2113,User,False,2320,30,28,0,30,28,4,False
Preetwinder,4,https://github.com/Preetwinder,User,False,3752,23,22,1,9,3,3,False
palego,4,https://github.com/palego,User,False,3397,4,4,3,4,0,0,False
float13,4,https://github.com/float13,User,False,2341,5,4,2,7,2,0,False
akshaysharmajs,4,https://github.com/akshaysharmajs,User,False,2383,30,29,14,30,8,26,False
berkerpeksag,4,https://github.com/berkerpeksag,User,False,5987,30,30,30,9,910,1250,False
dacjames,4,https://github.com/dacjames,User,False,5882,27,14,8,30,9,3,False
dmiwell,4,https://github.com/dmiwell,User,False,4771,13,11,11,15,0,3,False
enparticular,4,https://github.com/enparticular,User,False,5040,0,0,0,1,1,0,False
Lukas0907,4,https://github.com/Lukas0907,User,False,5131,30,30,30,25,17,10,False
Mimino666,4,https://github.com/Mimino666,User,False,4810,16,12,10,17,255,1928,False
mlyundin,4,https://github.com/mlyundin,User,False,4436,20,15,0,23,4,13,False
NoExitTV,4,https://github.com/NoExitTV,User,False,3783,30,30,8,6,18,11,False
olafdietsche,4,https://github.com/olafdietsche,User,False,4259,12,9,23,30,2,4,False
akhterwahab,4,https://github.com/akhterwahab,User,False,4814,1,1,1,30,25,1,False
protokoul,4,https://github.com/protokoul,User,False,4012,20,14,7,30,1,0,False
persiyanov,4,https://github.com/persiyanov,User,False,4343,26,16,9,30,36,88,False
kumar-sanchay,4,https://github.com/kumar-sanchay,User,False,2074,7,4,0,23,1,5,False
oscard0m,4,https://github.com/oscard0m,User,False,4506,30,30,30,30,106,36,False
willbeaufoy,3,https://github.com/willbeaufoy,User,False,5075,26,18,30,30,4,36,False
joaquingx,3,https://github.com/joaquingx,User,False,3929,30,30,23,30,18,3,False
sbs2001,3,https://github.com/sbs2001,User,False,2823,30,30,30,30,47,5,False
maanijou,3,https://github.com/maanijou,User,False,3171,30,30,1,24,11,13,False
reidemeister94,3,https://github.com/reidemeister94,User,False,2829,3,3,0,16,10,59,False
namelessGonbai,3,https://github.com/namelessGonbai,User,False,2329,4,4,3,4,0,0,False
bagratte,3,https://github.com/bagratte,User,False,3629,30,26,21,11,3,0,False
azzamsa,3,https://github.com/azzamsa,User,False,3267,30,30,30,30,142,996,False
arijitchakraborty,3,https://github.com/arijitchakraborty,User,False,5330,7,4,1,15,13,1,False
aisha-partha,3,https://github.com/aisha-partha,User,False,437,5,4,0,25,1,0,False
serhii73,3,https://github.com/serhii73,User,False,2965,30,30,30,30,66,27,False
otherchirps,3,https://github.com/otherchirps,User,False,5281,17,13,9,30,12,6,False
ngash,3,https://github.com/ngash,User,False,4038,30,30,4,20,13,3,False
y26805,3,https://github.com/y26805,User,False,3412,12,8,14,16,5,17,False
lena-kuhn,3,https://github.com/lena-kuhn,User,False,2624,30,26,30,1,15,0,False
elramen,3,https://github.com/elramen,User,False,380,0,0,0,2,0,0,False
bblanchon,3,https://github.com/bblanchon,User,False,4172,30,30,30,30,575,7426,False
aron-bordin,3,https://github.com/aron-bordin,User,False,4242,30,30,30,18,432,504,False
armujahid,3,https://github.com/armujahid,User,False,4371,30,30,30,30,243,33,False
petervandenabeele,3,https://github.com/petervandenabeele,User,False,5842,30,30,30,30,48,18,False
otobrglez,3,https://github.com/otobrglez,User,False,5448,30,30,30,30,253,144,False
kshitijcode,3,https://github.com/kshitijcode,User,False,3384,30,30,27,30,3,60,False
kevintomsgithub,3,https://github.com/kevintomsgithub,User,False,2929,3,1,0,30,9,4,False
azenkwed,3,https://github.com/azenkwed,User,False,3942,9,4,2,2,6,0,False
josericardo,3,https://github.com/josericardo,User,False,4691,30,30,21,30,19,3,False
llonchj,3,https://github.com/llonchj,User,False,5309,30,30,30,30,36,15,False
Jane222,3,https://github.com/Jane222,User,False,3721,1,1,0,2,0,0,False
Nirzak,2,https://github.com/Nirzak,User,False,3628,30,30,30,30,138,57,False
mineo,2,https://github.com/mineo,User,False,5774,30,30,30,30,33,4,False
Ordepsousa,2,https://github.com/Ordepsousa,User,False,4087,1,1,1,8,2,0,False
qhuang872,2,https://github.com/qhuang872,User,False,3199,8,6,0,15,13,1,False
weldon0405,2,https://github.com/weldon0405,User,False,3018,28,20,2,30,1,1,False
VMRuiz,2,https://github.com/VMRuiz,User,False,4226,30,30,30,14,15,0,False
torymur,2,https://github.com/torymur,User,False,4479,30,30,26,6,48,61,False
AmbientLighter,2,https://github.com/AmbientLighter,User,False,5445,30,30,1,30,24,6,False
zloidemon,2,https://github.com/zloidemon,User,False,5371,0,0,0,30,0,37,False
SudShekhar,2,https://github.com/SudShekhar,User,False,4406,8,5,13,19,8,1,False
raihan71,2,https://github.com/raihan71,User,False,2723,30,30,8,30,151,4,False
dufferzafar,2,https://github.com/dufferzafar,User,False,4747,30,30,30,30,607,334,False
zessx,2,https://github.com/zessx,User,False,4403,30,30,30,30,57,41,False
rydwhelchel,2,https://github.com/rydwhelchel,User,False,1914,30,30,3,20,3,1,False
ramiro,2,https://github.com/ramiro,User,False,5907,30,30,30,30,170,11,False
